STATE_CODE,STATE_CODE_EXP,SHRP_ID,VWS_ID,YEAR,TOTAL_ANN_PRECIP,TOTAL_SNOWFALL_YR,RECORD_STATUS,INTENSE_PRECIP_DAYS_YR,WET_DAYS_YR,NUM_ANN_PRECIP_DAYS,NUM_SNOWFALL_DAYS_YR,SNOW_COVERED_DAYS_YR,MAX_CONTRIBUTE_WS_NO,DATE_EXP,EXPANDED_STATUS
26,Michigan,116,260100,1958,610.2000122,802,E,15,94,365,365,,1,,1
26,Michigan,116,260100,1959,865.7999878,1147,E,19,108,365,365,,4,,1
26,Michigan,116,260100,1960,679.2999878,925,E,14,94,366,366,,4,,1
26,Michigan,116,260100,1961,713.7000122,641,E,16,126,365,365,,4,,1
26,Michigan,116,260100,1962,544.2000122,1147,E,10,100,365,365,,5,,1
26,Michigan,116,260100,1963,586.7000122,645,E,13,87,365,365,,5,,1
26,Michigan,116,260100,1964,772.7000122,754,E,18,103,366,366,,5,,1
26,Michigan,116,260100,1965,807.9000244,1435,E,19,126,365,365,,5,,1
26,Michigan,116,260100,1966,705.2999878,1152,E,20,106,365,365,,5,,1
26,Michigan,116,260100,1967,927.7999878,1284,E,26,122,365,365,,5,,1
26,Michigan,116,260100,1968,822.2000122,729,E,20,124,366,366,,5,,1
26,Michigan,116,260100,1969,691.5,678,E,16,119,365,365,,5,,1
26,Michigan,116,260100,1970,812.2000122,1237,E,19,121,365,365,,5,,1
26,Michigan,116,260100,1971,732.7000122,833,E,18,110,365,365,,5,,1
26,Michigan,116,260100,1972,937.9000244,1568,E,22,133,366,366,,5,,1
26,Michigan,116,260100,1973,846.9000244,1652,E,21,124,365,365,,5,,1
26,Michigan,116,260100,1984,786.2000122,600,E,19,123,366,366,,6,,1
26,Michigan,116,260100,1985,1044.099976,1638,E,24,144,365,365,,5,,1
26,Michigan,116,260100,1986,1079.300049,1253,E,21,142,365,365,,5,,1
26,Michigan,116,260100,1987,831.0999756,747,E,17,147,365,365,,5,,1
26,Michigan,116,260100,1988,805.9000244,866,E,15,138,366,366,,6,,1
26,Michigan,116,260100,1989,801.0999756,1060,E,21,143,365,365,,6,,1
26,Michigan,116,260100,1990,912.2000122,1019,E,22,140,365,365,,7,,1
26,Michigan,116,260100,1991,937,996,E,30,130,365,365,,7,,1
26,Michigan,116,260100,1992,880.7000122,823,E,22,148,366,366,,7,,1
26,Michigan,116,260100,1993,1044.599976,1074,E,26,149,365,365,66,7,,1
26,Michigan,116,260100,1994,1072.5,1297,E,23,135,365,365,71,7,,1
26,Michigan,116,260100,1995,783.9000244,926,E,17,132,365,365,68,7,,1
26,Michigan,116,260100,1996,711.7000122,704,E,11,134,366,366,27,7,,1
26,Michigan,116,260100,1997,783.0999756,1436,E,16,129,365,365,49,7,,1
26,Michigan,116,260100,1998,770,903,E,22,128,365,365,,6,,1
26,Michigan,116,260100,1999,740.9000244,1632,E,17,141,365,365,,6,,1
26,Michigan,116,260100,2000,894,2230,E,21,155,366,366,,6,,1
26,Michigan,116,260100,2001,908.0999756,572,E,21,153,365,365,,7,,1
26,Michigan,116,260100,2002,640.0999756,1011,E,11,132,365,365,,7,,1
26,Michigan,116,260100,2013,940.4000244,1116,E,17,180,365,365,125,5,,1
26,Michigan,116,260100,2014,886.9000244,1446,E,15,178,365,365,,5,,1
26,Michigan,116,260100,2015,761.9000244,1004,E,16,153,365,365,145,5,,1
26,Michigan,116,260100,2016,900.2999878,1542,E,26,160,366,366,157,5,,1
26,Michigan,116,260100,2017,867.2000122,781,E,17,162,365,365,240,5,,1
26,Michigan,116,260100,2003,692.4000244,813,E,14,127,365,365,,7,,1
26,Michigan,116,260100,2004,855.7999878,1189,E,18,144,366,366,,7,,1
26,Michigan,116,260100,2005,766.7000122,1817,E,18,138,365,365,,7,,1
26,Michigan,116,260100,2006,940.9000244,676,E,24,158,365,365,,7,,1
26,Michigan,116,260100,2007,800.5999756,1219,E,18,140,365,365,,7,,1
26,Michigan,116,260100,2008,954.4000244,2323,E,19,161,366,366,,7,,1
26,Michigan,116,260100,2009,853.2999878,987,E,23,143,365,365,,7,,1
26,Michigan,116,260100,2010,658,1058,E,15,132,365,365,,7,,1
26,Michigan,116,260100,2011,1108.900024,1855,E,25,190,365,365,,6,,1
26,Michigan,116,260100,2012,797.7999878,624,E,19,118,366,366,,5,,1
26,Michigan,116,260100,1974,838.0999756,1668,E,15,143,365,365,,5,,1
26,Michigan,116,260100,1975,980.7000122,1579,E,21,126,365,365,,5,,1
26,Michigan,116,260100,1976,810,1534,E,16,119,366,366,,5,,1
26,Michigan,116,260100,1977,776.2000122,1193,E,19,132,365,365,,5,,1
26,Michigan,116,260100,1978,643,1978,E,13,129,365,365,,5,,1
26,Michigan,116,260100,1979,634,1458,E,15,129,365,365,,5,,1
26,Michigan,116,260100,1980,770.4000244,1011,E,19,124,366,366,,5,,1
26,Michigan,116,260100,1981,850.7999878,645,E,23,89,365,365,,6,,1
26,Michigan,116,260100,1982,707.4000244,625,E,18,102,365,365,,6,,1
26,Michigan,116,260100,1983,776.0999756,881,E,19,108,365,365,,6,,1