STATE_CODE,STATE_CODE_EXP,SHRP_ID,VWS_ID,YEAR,MEAN_ANN_TEMP_AVG,FREEZE_INDEX_YR,FREEZE_THAW_YR,RECORD_STATUS,MEAN_ANN_TEMP_DAYS,MAX_ANN_TEMP_AVG,MAX_ANN_TEMP_DAYS,MIN_ANN_TEMP_AVG,MIN_ANN_TEMP_DAYS,MAX_ANN_TEMP,MIN_ANN_TEMP,DAYS_ABOVE_32_C_YR,DAYS_BELOW_0_C_YR,FREEZE_INDEX_DAYS_YR,FREEZE_THAW_DAYS_YR,MAX_CONTRIBUTE_WS_NO,DATE_EXP,EXPANDED_STATUS
26,Michigan,116,260100,1958,8.300000191,607,89,E,361,14.39999962,361,2.200000048,361,33.90000153,-23.29999924,3,143,361,361,1,,1
26,Michigan,116,260100,1959,9.100000381,520,96,E,365,14.69999981,365,3.400000095,365,33.29999924,-24.39999962,5,146,365,365,4,,1
26,Michigan,116,260100,1960,8.100000381,607,69,E,366,13.80000019,366,2.299999952,366,34.40000153,-22.20000076,2,146,366,366,4,,1
26,Michigan,116,260100,1961,9.300000191,435,102,E,365,15,365,3.599999905,365,33.29999924,-23.29999924,2,141,365,365,4,,1
26,Michigan,116,260100,1962,8.800000191,600,86,E,365,14.80000019,365,2.900000095,365,33.90000153,-26.10000038,6,150,365,365,5,,1
26,Michigan,116,260100,1963,8.899999619,726,76,E,365,15.30000019,365,2.400000095,365,35.59999847,-24.89999962,12,139,365,365,5,,1
26,Michigan,116,260100,1964,9.699999809,375,96,E,366,15.69999981,366,3.700000048,366,36.5,-23.89999962,15,138,366,366,5,,1
26,Michigan,116,260100,1965,8.899999619,451,98,E,365,14.60000038,365,3.299999952,365,35,-21.70000076,12,136,365,365,5,,1
26,Michigan,116,260100,1966,8.600000381,516,98,E,365,14.5,365,2.799999952,365,35.59999847,-23.29999924,15,149,365,365,5,,1
26,Michigan,116,260100,1967,8.5,467,99,E,365,14,365,3,365,32.20000076,-24.60000038,0,146,365,365,5,,1
26,Michigan,116,260100,1968,9.100000381,528,87,E,366,14.80000019,366,3.400000095,366,33.90000153,-22.79999924,11,139,366,366,5,,1
26,Michigan,116,260100,1969,8.399999619,500,113,E,365,14.30000019,365,2.5,365,33.29999924,-21,4,161,365,365,5,,1
26,Michigan,116,260100,1970,9.100000381,585,78,E,365,14.60000038,365,3.599999905,365,34.40000153,-22.20000076,3,138,365,365,5,,1
26,Michigan,116,260100,1971,9.5,494,88,E,365,15.30000019,365,3.700000048,365,36.09999847,-22.79999924,4,136,365,365,5,,1
26,Michigan,116,260100,1972,7.800000191,548,108,E,366,13.5,366,2.200000048,366,33.29999924,-28.20000076,4,162,366,366,5,,1
26,Michigan,116,260100,1973,10,388,78,E,365,15.5,365,4.5,365,35.09999847,-24,13,118,365,365,5,,1
26,Michigan,116,260100,1974,8.899999619,406,101,E,365,14.39999962,365,3.400000095,365,35,-24,8,140,365,365,5,,1
26,Michigan,116,260100,1975,9.399999619,383,99,E,365,14.89999962,365,4,365,35.09999847,-18.29999924,6,140,365,365,5,,1
26,Michigan,116,260100,1976,8.399999619,625,100,E,366,14.5,366,2.299999952,366,34.29999924,-26.20000076,3,162,366,366,5,,1
26,Michigan,116,260100,1977,9.199999809,677,68,E,365,14.89999962,365,3.5,365,36.20000076,-24,13,136,365,365,5,,1
26,Michigan,116,260100,1978,8.399999619,668,81,E,365,14.10000038,365,2.799999952,365,34.59999847,-24.29999924,10,156,365,365,5,,1
26,Michigan,116,260100,1979,8.600000381,634,78,E,365,14.5,365,2.799999952,365,32.70000076,-27.29999924,1,141,365,365,5,,1
26,Michigan,116,260100,1980,8.399999619,539,97,E,366,14.19999981,366,2.599999905,366,34.79999924,-21.10000038,6,154,366,366,5,,1
26,Michigan,116,260100,1981,8.899999619,448,110,E,365,15,365,2.700000048,365,33.79999924,-25.20000076,4,146,365,365,6,,1
26,Michigan,116,260100,1982,8.899999619,577,98,E,365,14.80000019,365,2.900000095,365,32.70000076,-24.5,2,145,365,365,6,,1
26,Michigan,116,260100,1983,9.5,435,94,E,365,15.39999962,365,3.599999905,365,35.90000153,-23.20000076,21,139,365,365,6,,1
26,Michigan,116,260100,1984,9.100000381,483,103,E,366,15.19999981,366,3,366,34.40000153,-31.29999924,5,146,366,366,6,,1
26,Michigan,116,260100,1985,8.300000191,583,76,E,365,14.19999981,365,2.400000095,365,33.29999924,-23.39999962,3,142,365,365,5,,1
26,Michigan,116,260100,1986,8.100000381,509,111,E,365,14.19999981,365,2.099999905,365,34.40000153,-23.20000076,5,160,365,365,5,,1
26,Michigan,116,260100,1987,9.199999809,342,141,E,365,15.80000019,365,2.599999905,365,36.5,-21.20000076,26,170,365,365,5,,1
26,Michigan,116,260100,1988,8.800000191,600,97,E,366,14.89999962,366,2.799999952,366,37.79999924,-23.29999924,38,150,366,366,6,,1
26,Michigan,116,260100,1989,7.800000191,670,95,E,365,13.5,365,2.200000048,365,33.59999847,-22.20000076,6,162,365,365,6,,1
26,Michigan,116,260100,1990,9.399999619,276,111,E,365,14.69999981,365,4.099999905,365,34.29999924,-18.5,4,138,365,365,7,,1
26,Michigan,116,260100,1991,9.300000191,441,99,E,365,14.89999962,365,3.700000048,365,34.29999924,-17.89999962,7,145,365,365,7,,1
26,Michigan,116,260100,1992,7.800000191,351,120,E,366,13.10000038,366,2.5,366,34.79999924,-20.5,1,151,366,366,7,,1
26,Michigan,116,260100,1993,7.900000095,536,106,E,365,13.19999981,365,2.599999905,365,33.90000153,-23.79999924,3,157,365,365,7,,1
26,Michigan,116,260100,1994,8.399999619,670,85,E,365,14,365,2.700000048,365,35.5,-28.29999924,5,137,365,365,7,,1
26,Michigan,116,260100,1995,8.399999619,592,83,E,365,13.69999981,365,3.099999905,365,37.09999847,-20.60000038,11,150,365,365,7,,1
26,Michigan,116,260100,1996,7.599999905,653,97,E,366,12.80000019,366,2.400000095,366,34.40000153,-24,3,159,366,366,7,,1
26,Michigan,116,260100,1997,8,431,103,E,365,13.10000038,365,2.900000095,365,34.29999924,-21.79999924,1,154,365,365,7,,1
26,Michigan,116,260100,1998,10.69999981,254,86,E,365,16.10000038,365,5.300000191,365,34.40000153,-15.69999981,9,114,365,365,6,,1
26,Michigan,116,260100,1999,9.5,452,94,E,365,15.30000019,365,3.599999905,365,34.90000153,-21,10,132,365,365,6,,1
26,Michigan,116,260100,2000,8.600000381,599,71,E,366,13.89999962,366,3.099999905,366,33,-21.29999924,2,132,366,366,6,,1
26,Michigan,116,260100,2001,9.699999809,334,83,E,365,14.89999962,365,4.400000095,365,36.09999847,-18.5,11,122,365,365,6,,1
26,Michigan,116,260100,2002,9.199999809,332,116,E,365,14.39999962,365,3.900000095,365,34.40000153,-24.79999924,16,156,365,365,7,,1
26,Michigan,116,260100,2003,8.199999809,595,81,E,365,13.5,365,2.799999952,365,35.40000153,-21.79999924,2,148,365,365,7,,1
26,Michigan,116,260100,2004,8.399999619,602,81,E,366,13.60000038,366,3,366,31.70000076,-22.89999962,0,135,366,366,7,,1
26,Michigan,116,260100,2005,9.100000381,563,74,E,365,14.5,365,3.799999952,365,33.79999924,-21.20000076,8,136,365,365,7,,1
26,Michigan,116,260100,2006,9.699999809,219,92,E,365,14.69999981,365,4.699999809,365,35,-18.29999924,10,117,365,365,7,,1
26,Michigan,116,260100,2007,9.199999809,551,75,E,365,14.5,365,3.700000048,365,35.5,-22.20000076,7,139,365,365,7,,1
26,Michigan,116,260100,2008,8.199999809,581,90,E,366,13.80000019,366,2.700000048,366,33.20000076,-20.60000038,4,152,366,366,7,,1
26,Michigan,116,260100,2009,8.5,541,75,E,365,13.80000019,365,3.099999905,365,34.90000153,-22.20000076,4,135,365,365,7,,1
26,Michigan,116,260100,2010,10.80000019,340,73,E,365,16.20000076,365,5.400000095,365,35.5,-16.20000076,15,124,365,365,7,,1
26,Michigan,116,260100,2011,10.10000038,390,77,E,365,15.19999981,365,4.900000095,365,37.09999847,-19.5,22,126,365,365,5,,1
26,Michigan,116,260100,2012,11.10000038,196,97,E,366,16.60000038,366,5.5,366,38.79999924,-17.10000038,28,119,366,366,5,,1
26,Michigan,116,260100,2013,8.699999809,474,94,E,365,13.89999962,365,3.5,365,34.40000153,-18.20000076,9,149,365,365,5,,1
26,Michigan,116,260100,2014,7.199999809,829,79,E,365,12.60000038,365,1.799999952,365,30.5,-25,0,157,365,365,5,,1
26,Michigan,116,260100,2015,8.899999619,625,85,E,365,14.5,365,3.299999952,365,31.79999924,-27.70000076,0,139,365,365,5,,1
26,Michigan,116,260100,2016,10.10000038,376,84,E,366,15.30000019,366,4.699999809,366,34.70000076,-18,9,127,366,366,5,,1
26,Michigan,116,260100,2017,9.899999619,374,73,E,365,15.30000019,365,4.5,365,34.40000153,-22.60000038,8,116,365,365,4,,1